group,n,base_rate,selection_rate,TPR,FPR,FNR,precision,AUC,mean_pred,calibration_ratio
credit,99304,0.08117497784580681,0.027138886651091598,0.30107927056196504,0.0029372116217134467,0.698920729438035,0.900556586270872,0.7967293674064228,0.051642425818458695,1.5718660879944995
unknown,1594,0.023212045169385194,0.006900878293601004,0.21621621621621623,0.0019267822736030828,0.7837837837837838,0.7272727272727273,0.7992327587703311,0.03598416762414986,0.6450627234686128
debit,342007,0.02537082574333274,0.005040832497580459,0.1759824824248012,0.0005910059100591006,0.8240175175751988,0.8857308584686775,0.7787305040274096,0.014275350265380373,1.7772471618339463
