group,n,base_rate,selection_rate,TPR,FPR,FNR,precision,AUC,mean_pred,calibration_ratio
Q1 lowest,111469,0.04621912818810611,0.01809471691681095,0.34297360248447206,0.002351458374483855,0.6570263975155279,0.8760535448686168,0.8464805872213749,0.03210247052001793,1.4397374233015974
Q4 highest,108823,0.04782077318213981,0.008968692280124606,0.17121445042275174,0.0008203128769820207,0.8287855495772483,0.9129098360655737,0.7646003155784472,0.026744038179141907,1.7880909704741588
Q3,110059,0.03139225324598625,0.00698716143159578,0.20086830680173662,0.0007035383287681512,0.7991316931982634,0.9024707412223667,0.762465086443785,0.017806952775351815,1.762921126484878
Q2,112554,0.026334026334026334,0.005934929011852089,0.2058029689608637,0.0005292453691030203,0.7941970310391363,0.9131736526946108,0.7802069675969282,0.014387012156067122,1.8304027304877932
