group,n,base_rate,selection_rate,TPR,FPR,FNR,precision,AUC,mean_pred,calibration_ratio
C,50438,0.12797890479400453,0.0674491454855466,0.4649109217660728,0.009117158902303163,0.5350890782339272,0.8821281599059377,0.8719856853361748,0.10266010706035152,1.2466274238226605
H,11639,0.0986339032562935,0.029212131626428387,0.27090592334494773,0.002764274139738824,0.7290940766550522,0.9147058823529411,0.7272293623504069,0.06497729083207329,1.51797500316229
R,16950,0.07008849557522123,0.03445427728613569,0.46380471380471383,0.002093642938713361,0.5361952861952862,0.9434931506849316,0.8682787033726,0.061461852690801615,1.1403576772704525
S,8464,0.06935255198487712,0.008861058601134215,0.1260647359454855,0.00012695188523549576,0.8739352640545145,0.9866666666666667,0.7319559089830678,0.02944278871089392,2.355502145733107
W,355414,0.020812348416213204,8.159498500340448e-05,0.003379748546708125,1.1493691400132752e-05,0.9966202514532919,0.8620689655172413,0.7029643389667678,0.007998291007721864,2.6020994230042573
