group,n,base_rate,selection_rate,TPR,FPR,FNR,precision,AUC,mean_pred,calibration_ratio
mobile,34257,0.132877951951426,0.05960825524710278,0.4077328646748682,0.00626157212590473,0.5922671353251318,0.9089128305582762,0.8401830877086903,0.0973242167407163,1.365312317955039
desktop,47165,0.09511290151595463,0.047768472384183185,0.4447168970129291,0.006045127580308817,0.5552831029870708,0.8854860186418109,0.8531553871811693,0.07620651244598782,1.248094138717697
unknown,361483,0.021403496153346076,0.0003734615459094895,0.014346645986816595,6.78452901234219e-05,0.9856533540131834,0.8222222222222222,0.7078778374040621,0.008685365791695127,2.4643171821055505
