group,n,base_rate,selection_rate,TPR,FPR,FNR,precision,AUC,mean_pred,calibration_ratio
-1,50474,0.130146213892301,0.06797559139358877,0.46217080225300655,0.008996697414873021,0.5378291977469934,0.884873214806179,0.8740002464183652,0.10258218987107402,1.268701848302026
60,977,0.042988741044012284,0.019447287615148412,0.2857142857142857,0.0074866310160427805,0.7142857142857143,0.631578947368421,0.8303539597657246,0.08596590019492623,0.5000673632979593
87,391454,0.025964736597403525,0.002503486999749651,0.08992522628886265,0.00017309659314432584,0.9100747737111373,0.9326530612244898,0.7296694386727861,0.012277830342359585,2.114765872584419
