group,n,base_rate,selection_rate,TPR,FPR,FNR,precision,AUC,mean_pred,calibration_ratio
free webmail,322805,0.04107433280153653,0.01272285125695079,0.2767931216532167,0.0014117449425933464,0.7232068783467833,0.8935962990017045,0.8071844546839355,0.026120569998934844,1.5724899113308584
corporate/other,47995,0.025961037608084176,0.0026461089696843423,0.08747993579454254,0.0003850349740101393,0.9125200642054575,0.8582677165354331,0.7177656386809692,0.013454632335019706,1.9295241194003354
missing,72105,0.03148186672214132,0.0027182580958324664,0.08061674008810572,0.00018615307510560608,0.9193832599118943,0.9336734693877551,0.7678563599724839,0.013734446396999247,2.2921831584722336
